tema,page,menu,font,warna,label,,,,
1,1,3,"LMRomanSlant10', 'sansserif', 'monospace', 'icomoon', 'icomoon', 'LMRomanSlant10', 'Raleway', 'Raleway', 'Raleway', 'Raleway', 'Raleway', 'Raleway', 'Raleway', 'Raleway'","#ff0', '#000', '#c0c0c0', '#fff', '#111', '#fff498', '#fff498', '#fff498', '#fff498', '#222', '#ddd', '#e3e3e3', '#e3e3e3', '#111', '#111111', '#111', '#111111', '#e3e3e3', '#111', '#111111', '#e3e3e3', '#111', '#dbdbdb', '#efefef', '#111', '#111', '#efefef', '#111', '#fff', '#909090', '#020202', '#efefef', '#fff', '#efefef', '#111', '#efefef', '#fff', '#efefef', '#111', '#111', '#111', '#111', '#111', '#111', '#111', '#111', '#111', '#111', '#111', '#fff', '#111'",1,,,,
1,1,6,"sansserif', 'Source', 'SFMonoRegular', 'inherit', 'Dosis', 'Source', 'Source', 'SFMonoRegular', 'DosisOpen'","#79A9F5', '#C45F90', '#A16AE8', '#FC8BC0', '#F85C70', '#FF8882', '#FAD02C', '#A3C14A', '#20c997', '#47D8E0', '#fff', '#6c757d', '#343a40', '#F85C70', '#6c757d', '#A3C14A', '#47D8E0', '#FF8882', '#F85C70', '#f8f9fa', '#343a40', '#000000', '#212529', '#fff', '#F85C70', '#f51330', '#6c757d', '#000000', '#fcf8e3', '#6c757d', '#fff', '#dee2e6', '#6c757d', '#FC8BC0', '#fff', '#212529', '#212529', '#212529', '#dee2e6', '#dee2e6', '#dee2e6', '#dee2e6', '#dee2e6', '#000000', '#212529', '#000000', '#fdd1d7', '#fbaab5', '#fcb9c2', '#fcb9c2', '#d6d8db', '#b3b7bb', '#c8cbcf', '#c8cbcf', '#e5eecc', '#cfdfa1', '#dbe8b9', '#dbe8b9', '#cbf4f6', '#9febef', '#b5eff2', '#b5eff2', '#ffdedc', '#ffc1be', '#ffc6c3', '#ffc6c3', '#fdd1d7', '#fbaab5', '#fcb9c2', '#fcb9c2', '#fdfdfe', '#fbfcfc', '#ececf6', '#ececf6', '#c6c8ca', '#95999c', '#b9bbbe', '#b9bbbe', '#000000', '#000000', '#000000', '#fff', '#343a40', '#454d55', '#495057', '#eaf0fc', '#dee2e6', '#fff', '#343a40', '#454d55', '#ffffff', '#fff', '#ffffff', '#495057', '#fff', '#ced4da', '#495057', '#fff', '#fdd6db', '#f85c70', '#6c757d', '#6c757d', '#6c757d', '#6c757d', '#6c757d', '#eaf0fc', '#495057', '#fff', '#212529', '#6c757d', '#A3C14A', '#212529', '#a3c14a', '#A3C14A', '#A3C14A', '#a3c14a', '#A3C14A', '#A3C14A', '#a3c14a', '#A3C14A', '#A3C14A', '#A3C14A', '#b6ce70', '#b6ce70', '#a3c14a', '#A3C14A', '#A3C14A', '#A3C14A', '#a3c14a', '#F85C70', '#fff', '#f85c70', '#F85C70', '#F85C70', '#f85c70', '#F85C70', '#F85C70', '#f85c70', '#F85C70', '#F85C70', '#F85C70', '#fa8d9b', '#fa8d9b', '#f85c70', '#F85C70', '#F85C70', '#F85C70', '#f85c70', '#212529', '#212529', '#f85c70', '#fff', '#F85C70', '#F85C70', '#fff', '#f63750', '#f62b45', '#f97485', '#fff', '#F85C70', '#F85C70', '#fff', '#f62b45', '#f51f3a', '#f97485', '#fff', '#6c757d', '#6c757d', '#fff', '#5a6268', '#545b62', '#828a91', '#fff', '#6c757d', '#6c757d', '#fff', '#545b62', '#4e555b', '#828a91', '#212529', '#A3C14A', '#A3C14A', '#fff', '#8eaa3a', '#86a137', '#90aa45', '#212529', '#A3C14A', '#A3C14A', '#fff', '#86a137', '#7e9734', '#90aa45', '#212529', '#47D8E0', '#47D8E0', '#212529', '#26d1da', '#23c8d1', '#41bdc5', '#212529', '#47D8E0', '#47D8E0', '#212529', '#23c8d1', '#21bdc6', '#41bdc5', '#212529', '#FF8882', '#FF8882', '#fff', '#ff645c', '#ff574f', '#de7975', '#212529', '#FF8882', '#FF8882', '#fff', '#ff574f', '#ff4b42', '#de7975', '#fff', '#F85C70', '#F85C70', '#fff', '#f63750', '#f62b45', '#f97485', '#fff', '#F85C70', '#F85C70', '#fff', '#f62b45', '#f51f3a', '#f97485', '#212529', '#f8f9fa', '#f8f9fa', '#212529', '#e2e6ea', '#dae0e5', '#d8d9db', '#212529', '#f8f9fa', '#f8f9fa', '#212529', '#dae0e5', '#d3d9df', '#d8d9db', '#fff', '#343a40', '#343a40', '#fff', '#23272b', '#1d2124', '#52585d', '#fff', '#343a40', '#343a40', '#fff', '#1d2124', '#171a1d', '#52585d', '#F85C70', '#F85C70', '#fff', '#F85C70', '#F85C70', '#f85c70', '#F85C70', '#fff', '#F85C70', '#F85C70', '#f85c70', '#6c757d', '#6c757d', '#fff', '#6c757d', '#6c757d', '#6c757d', '#6c757d', '#fff', '#6c757d', '#6c757d', '#6c757d', '#A3C14A', '#A3C14A', '#212529', '#A3C14A', '#A3C14A', '#a3c14a', '#A3C14A', '#212529', '#A3C14A', '#A3C14A', '#a3c14a', '#47D8E0', '#47D8E0', '#212529', '#47D8E0', '#47D8E0', '#47d8e0', '#47D8E0', '#212529', '#47D8E0', '#47D8E0', '#47d8e0', '#FF8882', '#FF8882', '#212529', '#FF8882', '#FF8882', '#ff8882', '#FF8882', '#212529', '#FF8882', '#FF8882', '#ff8882', '#F85C70', '#F85C70', '#fff', '#F85C70', '#F85C70', '#f85c70', '#F85C70', '#fff', '#F85C70', '#F85C70', '#f85c70', '#f8f9fa', '#f8f9fa', '#212529', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#212529', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#343a40', '#343a40', '#fff', '#343a40', '#343a40', '#343a40', '#343a40', '#fff', '#343a40', '#343a40', '#343a40', '#F85C70', '#f51330', '#6c757d', '#212529', '#fff', '#000000', '#eaf0fc', '#212529', '#16181b', '#f8f9fa', '#fff', '#F85C70', '#6c757d', '#6c757d', '#212529', '#495057', '#eaf0fc', '#ced4da', '#fff', '#F85C70', '#F85C70', '#f85c70', '#fdd6db', '#fff', '#6c757d', '#eaf0fc', '#fff', '#F85C70', '#F85C70', '#f85c70', '#f85c70', '#f85c70', '#adb5bd', '#fff', '#f85c70', '#495057', '#fff', '#ced4da', '#fdd6db', '#f85c70', '#495057', '#fff', '#6c757d', '#eaf0fc', '#fdd6db', '#f85c70', '#eaf0fc', '#495057', '#fff', '#ced4da', '#495057', '#eaf0fc', '#f85c70', '#f85c70', '#f85c70', '#F85C70', '#dee2e6', '#F85C70', '#dee2e6', '#F85C70', '#dee2e6', '#dee2e6', '#adb5bd', '#adb5bd', '#adb5bd', '#6c757d', '#dee2e6', '#dee2e6', '#6c757d', '#495057', '#fff', '#fff', '#fff', '#F85C70', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#fff', '#fff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#fff', '#fff', '#000000', '#000000', '#000000', '#000000', '#000000', '#212529', '#495057', '#343a40', '#fff', '#f51330', '#f85c70', '#f85c70', '#fff', '#F85C70', '#F85C70', '#6c757d', '#fff', '#dee2e6', '#fff', '#F85C70', '#fff', '#f62b45', '#f85c70', '#fff', '#6c757d', '#fff', '#545b62', '#6c757d', '#212529', '#A3C14A', '#212529', '#86a137', '#a3c14a', '#212529', '#47D8E0', '#212529', '#23c8d1', '#47d8e0', '#212529', '#FF8882', '#212529', '#ff574f', '#ff8882', '#fff', '#F85C70', '#fff', '#f62b45', '#f85c70', '#212529', '#f8f9fa', '#212529', '#dae0e5', '#f8f9fa', '#fff', '#343a40', '#fff', '#1d2124', '#343a40', '#eaf0fc', '#81303a', '#fedee2', '#fdd1d7', '#fcb9c2', '#5c2229', '#383d41', '#e2e3e5', '#d6d8db', '#c8cbcf', '#202326', '#556426', '#edf3db', '#e5eecc', '#dbe8b9', '#363f18', '#257074', '#daf7f9', '#cbf4f6', '#b5eff2', '#194b4d', '#854744', '#ffe7e6', '#ffdedc', '#ffc6c3', '#633533', '#81303a', '#fedee2', '#fdd1d7', '#fcb9c2', '#5c2229', '#818182', '#fefefe', '#fdfdfe', '#ececf6', '#686868', '#1b1e21', '#d6d8d9', '#c6c8ca', '#b9bbbe', '#040505', '#eaf0fc', '#fff', '#F85C70', '#ffffff', '#ffffff', '#495057', '#495057', '#f8f9fa', '#212529', '#eaf0fc', '#fff', '#000000', '#6c757d', '#fff', '#fff', '#F85C70', '#F85C70', '#81303a', '#fdd1d7', '#81303a', '#fcb9c2', '#fff', '#81303a', '#81303a', '#383d41', '#d6d8db', '#383d41', '#c8cbcf', '#fff', '#383d41', '#383d41', '#556426', '#e5eecc', '#556426', '#dbe8b9', '#fff', '#556426', '#556426', '#257074', '#cbf4f6', '#257074', '#b5eff2', '#fff', '#257074', '#257074', '#854744', '#ffdedc', '#854744', '#ffc6c3', '#fff', '#854744', '#854744', '#81303a', '#fdd1d7', '#81303a', '#fcb9c2', '#fff', '#81303a', '#81303a', '#818182', '#fdfdfe', '#818182', '#ececf6', '#fff', '#818182', '#818182', '#1b1e21', '#c6c8ca', '#1b1e21', '#b9bbbe', '#fff', '#1b1e21', '#1b1e21', '#000', '#fff', '#000', '#ffffff', '#000000', '#000000', '#6c757d', '#ffffff', '#000000', '#fff', '#000000', '#000', '#dee2e6', '#dee2e6', '#000', '#000', '#000', '#000', '#fff', '#000', '#fff', '#000000', '#000000', '#fff', '#000000', '#fff', '#000000', '#fff', '#f7f7f7', '#000000', '#fff', '#f7f7f7', '#ebebeb', '#212529', '#fff', '#fff', '#fff', '#fff', '#000000', '#000000', '#000000', '#000000', '#000000', '#ffffff', '#adb5bd', '#000', '#dee2e6', '#dee2e6', '#444', '#6c757d', '#343a40', '#F85C70', '#212529', '#495057', '#fff', '#6c757d', '#dee2e6', '#F85C70', '#fff', '#F85C70', '#dee2e6', '#212529', '#F85C70', '#fff', '#f85c70', '#fff', '#fff', '#dee2e6', '#444', '#dee2e6', '#f8f9fa', '#6c757d', '#F85C70', '#363636', '#363636', '#808080', '#888', '#17263C', '#000000', '#000000', '#fff', '#fff', '#212529', '#fcbec6', '#f2f4f7', '#dee2e6', '#dee2e6', '#dee2e6', '#fff', '#F85C70'",2,,,,
1,3,3,"Lato', 'Courier', 'Courier', 'FontAwesome', 'FontAwesome', 'FontAwesome'","#fff', '#444', '#4dac71', '#666', '#666', '#909090', '#909090', '#909090', '#909090', '#909090', '#666', '#909090', '#909090', '#4dac71', '#4dac71', '#909090', '#444', '#909090', '#909090', '#3ba666', '#3ba666', '#ffffff', '#4dac71', '#4dac71', '#909090', '#4dac71', '#909090', '#909090', '#909090', '#909090', '#666', '#909090', '#909090', '#909090', '#3ba666', '#42b972', '#34935a', '#909090', '#909090', '#909090', '#888', '#4dac71', '#5cb67e', '#459a65', '#000000', '#202222', '#ffffff', '#ffffff', '#cee8d8', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#3ba666', '#ffffff', '#ffffff', '#ffffff', '#909090', '#202222', '#888', '#ffffff', '#888', '#ffffff', '#888', '#ffffff', '#909090'",3,,,,
1,3,3,"Lato', 'Courier', 'Courier', 'FontAwesome', 'FontAwesome', 'FontAwesome', 'Pacifico', 'FontAwesome', 'FontAwesome'","#fff', '#fff', '#111111', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#5a5a5a', '#676767', '#4d4d4d', '#e5474b', '#fceced', '#f9dadb', '#717171', '#e5474b', '#e85d61', '#e23135', '#e5474b', '#fceced', '#e5474b', '#e5474b', '#e5474b', '#111111', '#e5474b', '#e5474b', '#e5474b', '#ffffff', '#e5474b', '#e5474b', '#e5474b', '#717171', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#e5474b', '#f2a3a5', '#ffffff', '#ffffff', '#ffffff', '#fff', '#fff', '#fff', '#fff', '#fff', '#5a5a5a', '#676767', '#4d4d4d', '#fff', '#ffffff', '#ffffff', '#f8d1d2', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#f2a3a5', '#fff', '#ffffff', '#ffffff', '#e5474b', '#ffffff', '#ffffff', '#fff', '#f8d1d2', '#fff', '#ffffff', '#fff', '#fff', '#fff', '#5a5a5a', '#d5d5d5', '#ffffff', '#e5474b', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#bdbdbd', '#e5474b', '#e85d61', '#e23135', '#ffffff', '#ffffff', '#ffffff', '#e5474b', '#e5474b', '#ffffff', '#d5d5d5', '#ffffff', '#ffffff', '#e5474b', '#e5474b', '#ffffff', '#e5474b', '#e5474b', '#ffffff', '#bdbdbd', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#1c1c1c', '#d5d5d5', '#e5474b', '#e5474b', '#ffffff', '#ffffff', '#fff', '#fff', '#1c1c1c', '#fff', '#000000', '#ffffff', '#fff', '#484848', '#e5474b', '#f2a3a5', '#0c0c0c', '#ffffff', '#ffffff', '#ffffff', '#fff', '#fff', '#fff', '#fff', '#5a5a5a', '#676767', '#4d4d4d', '#fff', '#ffffff', '#ffffff', '#f8d1d2', '#ffffff', '#0c0c0c', '#f3f3f3', '#717171', '#b3b3b3', '#e5474b', '#f2a3a5', '#e5474b', '#ffffff', '#ffffff', '#ffffff', '#fff', '#fff', '#fff', '#fff', '#5a5a5a', '#676767', '#4d4d4d', '#fff', '#ffffff', '#ffffff', '#f8d1d2', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#f2a3a5', '#fff', '#ffffff', '#ffffff', '#e5474b', '#ffffff', '#ffffff', '#e5474b', '#f2a3a5'",4,,,,
1,3,3,"Source', 'Courier', 'Courier', 'FontAwesome', 'FontAwesome', 'FontAwesome', 'FontAwesome'","#fff', '#9a9a9a', '#6cc091', '#555', '#555', '#dbdbdb', '#909090', '#dbdbdb', '#dbdbdb', '#bbb', '#555', '#6cc091', '#8dcca9', '#fff', '#4bae77', '#4bae77', '#fff', '#9a9a9a', '#909090', '#8dcca9', '#6cc091', '#6cc091', '#ffffff', '#6cc091', '#6cc091', '#dbdbdb', '#8dcca9', '#dbdbdb', '#000000', '#dbdbdb', '#909090', '#555', '#dbdbdb', '#dbdbdb', '#dbdbdb', '#6cc091', '#6cc091', '#6cc091', '#FFF', '#7ec89e', '#7ec89e', '#bbb', '#6cc091', '#7ec89e', '#5ab884', '#000000', '#6cc091', '#fff', '#ffffff', '#ffffff', '#ffffff', '#6cc091', '#daefe3', '#000000', '#8dcca9', '#daefe3', '#daefe3', '#4b4b5d', '#ffffff', '#fff', '#fff', '#6cc091', '#ffffff', '#ffffff', '#6cc091', '#fff', '#FFF', '#FFF', '#ffffff', '#6cc091', '#FFF', '#ffffff', '#FFF'",5,,,,
1,1,4,Lato',"#fff', '#fff', '#fff', '#fff', '#fff', '#fff', '#8c363e', '#fff', '#000000', '#fff', '#fff', '#a43f49', '#fafafa', '#a43f49', '#fff', '#a43f49', '#fff', '#a43f49', '#fff', '#fff', '#fafafa', '#fff', '#a43f49', '#fff', '#fff', '#a43f49', '#a43f49', '#fff', '#fff', '#a43f49', '#a43f49', '#fff', '#fafafa', '#fafafa', '#fafafa', '#1e1e1e', '#4a4a4a', '#a43f49', '#a43f49', '#fff', '#fff', '#fafafa', '#f7f7f7', '#232323', '#7a7a7a', '#a43f49', '#fff', '#ffffff', '#fafafa', '#fafafa', '#fff', '#fafafa', '#fafafa', '#fff', '#fff'",6,,,,
1,3,3,Open Sans',"#eeeeee', '#6C6D6E', '#61AEAE', '#0099CC', '#999A9B', '#0299CC', '#999A9B', '#0299CC', '#626364', '#656667', '#9A9B9C', '#9A9B9C', '#3085a3', '#fff', '#9e5406', '#fff', '#fff', '#fff', '#fff', '#000000', '#9999CC', '#9a9afc'",7,,,,
1,1,5,Open Sans',"#707172', '#666', '#069', '#333', '#000000', '#ffffff', '#fff', '#cdcecf', '#069', '#F93', '#369', '#98999a', '#3085a3', '#fff', '#069', '#fff', '#fff', '#fff', '#fff', '#ccc', '#707172', '#cdcecf', '#fff', '#999', '#cdcecf', '#000000', '#000000'",8,,,,
1,1,3,supra classic',"#8f8f8f', '#ced4da', '#3496d8', '#3496d8', '#73c1f6', '#e9ecef', '#3496d8', '#8f8f8f', '#8f8f8f', '#3496d8', '#8f8f8f', '#8f8f8f', '#333', '#c57e7d', '#3496d8', '#3496d8', '#3ba0dd', '#3085a3', '#fff', '#4a3753', '#3496d8', '#3496d8', '#3496d8', '#8f8f8f'",9,,,,
1,1,4,"'Merriweather', 'Merriweather', 'varbsfontmonospace', 'inherit', 'Merriweather', 'Merriweather', 'Merriweather', 'varbsfontmonospace', 'Merriweather', 'Merriweather', 'Merriweather'","'#0d6efd', '#6610f2', '#6f42c1', '#d63384', '#dc3545', '#f4623a', '#ffc107', '#198754', '#20c997', '#0dcaf0', '#fff', '#6c757d', '#343a40', '#f4623a', '#6c757d', '#198754', '#0dcaf0', '#ffc107', '#dc3545', '#f8f9fa', '#212529', '#ffffff', '#212529', '#fff', '#000000', '#fcf8e3', '#f4623a', '#c34e2e', '#d63384', '#fff', '#212529', '#6c757d', '#6c757d', '#fff', '#dee2e6', '#6c757d', '#212529', '#000000', '#212529', '#000000', '#212529', '#000000', '#212529', '#dee2e6', '#fde0d8', '#f0d5cd', '#000', '#e4cac2', '#000', '#eacfc8', '#000', '#000', '#e4cac2', '#e2e3e5', '#d7d8da', '#000', '#cbccce', '#000', '#d1d2d4', '#000', '#000', '#cbccce', '#d1e7dd', '#c7dbd2', '#000', '#bcd0c7', '#000', '#c1d6cc', '#000', '#000', '#bcd0c7', '#cff4fc', '#c5e8ef', '#000', '#badce3', '#000', '#bfe2e9', '#000', '#000', '#badce3', '#fff3cd', '#f2e7c3', '#000', '#e6dbb9', '#000', '#ece1be', '#000', '#000', '#e6dbb9', '#f8d7da', '#eccccf', '#000', '#dfc2c4', '#000', '#e5c7ca', '#000', '#000', '#dfc2c4', '#f8f9fa', '#ecedee', '#000', '#dfe0e1', '#000', '#e5e6e7', '#000', '#000', '#dfe0e1', '#212529', '#2c3034', '#fff', '#373b3e', '#fff', '#323539', '#fff', '#fff', '#373b3e', '#6c757d', '#212529', '#fff', '#ced4da', '#212529', '#fff', '#fab19d', '#f4623a', '#6c757d', '#6c757d', '#6c757d', '#e9ecef', '#212529', '#e9ecef', '#dde0e3', '#212529', '#e9ecef', '#dde0e3', '#212529', '#212529', '#fff', '#ced4da', '#fab19d', '#f4623a', '#e9ecef', '#212529', '#fff', '#000000', '#fab19d', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#fcd0c4', '#dee2e6', '#f4623a', '#fcd0c4', '#dee2e6', '#adb5bd', '#adb5bd', '#212529', '#e9ecef', '#ced4da', '#198754', '#fff', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#198754', '#dc3545', '#fff', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#212529', '#212529', '#f4623a', '#fff', '#f4623a', '#f4623a', '#fff', '#cf5331', '#c34e2e', '#fff', '#cf5331', '#c34e2e', '#f67a58', '#fff', '#c34e2e', '#b74a2c', '#f67a58', '#fff', '#f4623a', '#f4623a', '#fff', '#6c757d', '#6c757d', '#fff', '#5c636a', '#565e64', '#fff', '#5c636a', '#565e64', '#828a91', '#fff', '#565e64', '#51585e', '#828a91', '#fff', '#6c757d', '#6c757d', '#fff', '#198754', '#198754', '#fff', '#157347', '#146c43', '#fff', '#157347', '#146c43', '#3c996e', '#fff', '#146c43', '#13653f', '#3c996e', '#fff', '#198754', '#198754', '#000', '#0dcaf0', '#0dcaf0', '#000', '#31d2f2', '#25cff2', '#000', '#31d2f2', '#25cff2', '#0baccc', '#000', '#3dd5f3', '#25cff2', '#0baccc', '#000', '#0dcaf0', '#0dcaf0', '#000', '#ffc107', '#ffc107', '#000', '#ffca2c', '#ffc720', '#000', '#ffca2c', '#ffc720', '#d9a406', '#000', '#ffcd39', '#ffc720', '#d9a406', '#000', '#ffc107', '#ffc107', '#fff', '#dc3545', '#dc3545', '#fff', '#bb2d3b', '#b02a37', '#fff', '#bb2d3b', '#b02a37', '#e15361', '#fff', '#b02a37', '#a52834', '#e15361', '#fff', '#dc3545', '#dc3545', '#000', '#f8f9fa', '#f8f9fa', '#000', '#f9fafb', '#f9fafb', '#000', '#f9fafb', '#f9fafb', '#d3d4d5', '#000', '#f9fafb', '#f9fafb', '#d3d4d5', '#000', '#f8f9fa', '#f8f9fa', '#fff', '#212529', '#212529', '#fff', '#1c1f23', '#1a1e21', '#fff', '#1c1f23', '#1a1e21', '#424649', '#fff', '#1a1e21', '#191c1f', '#424649', '#fff', '#212529', '#212529', '#f4623a', '#f4623a', '#fff', '#f4623a', '#f4623a', '#f4623a', '#fff', '#f4623a', '#f4623a', '#f4623a', '#f4623a', '#6c757d', '#6c757d', '#fff', '#6c757d', '#6c757d', '#6c757d', '#fff', '#6c757d', '#6c757d', '#6c757d', '#6c757d', '#198754', '#198754', '#fff', '#198754', '#198754', '#198754', '#fff', '#198754', '#198754', '#198754', '#198754', '#0dcaf0', '#0dcaf0', '#000', '#0dcaf0', '#0dcaf0', '#0dcaf0', '#000', '#0dcaf0', '#0dcaf0', '#0dcaf0', '#0dcaf0', '#ffc107', '#ffc107', '#000', '#ffc107', '#ffc107', '#ffc107', '#000', '#ffc107', '#ffc107', '#ffc107', '#ffc107', '#dc3545', '#dc3545', '#fff', '#dc3545', '#dc3545', '#dc3545', '#fff', '#dc3545', '#dc3545', '#dc3545', '#dc3545', '#f8f9fa', '#f8f9fa', '#000', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#000', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#f8f9fa', '#212529', '#212529', '#fff', '#212529', '#212529', '#212529', '#fff', '#212529', '#212529', '#212529', '#212529', '#f4623a', '#c34e2e', '#6c757d', '#212529', '#fff', '#000000', '#000000', '#212529', '#1e2125', '#e9ecef', '#fff', '#f4623a', '#adb5bd', '#6c757d', '#212529', '#dee2e6', '#343a40', '#000000', '#dee2e6', '#fff', '#ffffff', '#fff', '#f4623a', '#adb5bd', '#000000', '#dee2e6', '#adb5bd', '#f4623a', '#c34e2e', '#6c757d', '#dee2e6', '#dee2e6', '#6c757d', '#495057', '#fff', '#fff', '#fff', '#f4623a', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#000000', '#fff', '#fff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#ffffff', '#ffffff', '#ffffff', '#fff', '#fff', '#000000', '#000000', '#000000', '#000000', '#000000', '#212529', '#fff', '#dc5834', '#feefeb', '#000000', '#fab19d', '#f4623a', '#fff', '#000000', '#6c757d', '#6c757d', '#f4623a', '#fff', '#dee2e6', '#c34e2e', '#e9ecef', '#dee2e6', '#c34e2e', '#e9ecef', '#f4623a', '#fff', '#f4623a', '#f4623a', '#6c757d', '#fff', '#dee2e6', '#fff', '#923b23', '#fde0d8', '#fcd0c4', '#752f1c', '#41464b', '#e2e3e5', '#d3d6d8', '#34383c', '#0f5132', '#d1e7dd', '#badbcc', '#0c4128', '#087990', '#cff4fc', '#b6effb', '#066173', '#997404', '#fff3cd', '#ffecb5', '#7a5d03', '#842029', '#f8d7da', '#f5c2c7', '#6a1a21', '#636464', '#fefefe', '#fdfdfe', '#4f5050', '#141619', '#d3d3d4', '#bcbebf', '#101214', '#e9ecef', '#fff', '#f4623a', '#ffffff', '#495057', '#495057', '#f8f9fa', '#212529', '#e9ecef', '#212529', '#fff', '#000000', '#6c757d', '#fff', '#fff', '#f4623a', '#f4623a', '#923b23', '#fde0d8', '#923b23', '#e4cac2', '#fff', '#923b23', '#923b23', '#41464b', '#e2e3e5', '#41464b', '#cbccce', '#fff', '#41464b', '#41464b', '#0f5132', '#d1e7dd', '#0f5132', '#bcd0c7', '#fff', '#0f5132', '#0f5132', '#087990', '#cff4fc', '#087990', '#badce3', '#fff', '#087990', '#087990', '#997404', '#fff3cd', '#997404', '#e6dbb9', '#fff', '#997404', '#997404', '#842029', '#f8d7da', '#842029', '#dfc2c4', '#fff', '#842029', '#842029', '#636464', '#fefefe', '#636464', '#e5e5e5', '#fff', '#636464', '#636464', '#141619', '#d3d3d4', '#141619', '#bebebf', '#fff', '#141619', '#141619', '#000', '#000', '#f4623a', '#ffffff', '#000000', '#000000', '#6c757d', '#ffffff', '#000000', '#fff', '#000000', '#000', '#dee2e6', '#dee2e6', '#000', '#000', '#000', '#000', '#fff', '#000', '#fff', '#000000', '#000000', '#fff', '#000000', '#fff', '#000000', '#fff', '#f0f0f0', '#000000', '#fff', '#f0f0f0', '#d8d8d8', '#212529', '#fff', '#fff', '#fff', '#fff', '#000', '#000', '#fff', '#000000', '#000000', '#000000', '#000000', '#f4623a', '#c34e2e', '#6c757d', '#565e64', '#198754', '#146c43', '#0dcaf0', '#3dd5f3', '#ffc107', '#ffcd39', '#dc3545', '#b02a37', '#f8f9fa', '#f9fafb', '#212529', '#1a1e21', '#000000', '#000000', '#000000', '#000000', '#ffffff', '#ffffff', '#f4623a', '#fff', '#000000', '#fff', '#212529', '#6c757d', '#f4623a', '#ffffff', '#fff', '#ffffff', '#fff', '#000000', '#fff', '#212529', '#f4623a', '#212529', '#f4623a', '#5c4d42', '#fff', '#f4623a'",10,,,,
